rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
21,1661,58,F,2025-01-04 14:56:00,2025-01-04 15:46:00,Station A,Station A,50,12.5
22,1308,46,M,2025-01-02 14:02:00,2025-01-02 14:30:00,Station E,Station E,28,7.0
23,1769,32,M,2025-01-06 23:55:00,2025-01-07 00:49:00,Station E,Station D,54,13.5
24,1343,62,M,2025-01-06 23:20:00,2025-01-06 23:56:00,Station A,Station A,36,9.0
25,1491,18,M,2025-01-05 22:16:00,2025-01-05 23:07:00,Station E,Station E,51,12.75
26,1413,42,F,2025-01-05 04:14:00,2025-01-05 04:40:00,Station E,Station A,26,6.5
27,1805,24,F,2025-01-04 03:41:00,2025-01-04 04:08:00,Station E,Station C,27,6.75
28,1385,26,M,2025-01-01 12:22:00,2025-01-01 12:28:00,Station C,Station A,6,1.5
29,1191,41,M,2025-01-05 16:47:00,2025-01-05 17:18:00,Station D,Station A,31,7.75
30,1955,18,F,2025-01-07 10:55:00,2025-01-07 11:41:00,Station B,Station A,46,11.5
31,1276,61,M,2025-01-07 17:28:00,2025-01-07 17:34:00,Station C,Station D,6,1.5
32,1160,25,M,2025-01-02 18:09:00,2025-01-02 18:39:00,Station E,Station A,30,7.5
33,1459,41,M,2025-01-05 02:23:00,2025-01-05 02:44:00,Station A,Station E,21,5.25
34,1313,28,F,2025-01-04 11:48:00,2025-01-04 12:32:00,Station E,Station C,44,11.0
35,1021,34,F,2025-01-03 11:48:00,2025-01-03 12:25:00,Station D,Station C,37,9.25
36,1252,25,F,2025-01-06 07:18:00,2025-01-06 07:31:00,Station E,Station A,13,3.25
37,1747,52,M,2025-01-06 11:20:00,2025-01-06 12:07:00,Station A,Station D,47,11.75
38,1856,52,M,2025-01-03 12:50:00,2025-01-03 13:48:00,Station D,Station D,58,14.5
39,1560,50,F,2025-01-08 04:34:00,2025-01-08 05:26:00,Station E,Station E,52,13.0
40,1474,22,F,2025-01-02 21:35:00,2025-01-02 22:18:00,Station D,Station A,43,10.75
41,1058,59,F,2025-01-02 03:14:00,2025-01-02 03:47:00,Station B,Station C,33,8.25
42,1510,56,F,2025-01-04 10:59:00,2025-01-04 11:45:00,Station B,Station D,46,11.5
43,1681,58,M,2025-01-05 16:55:00,2025-01-05 17:54:00,Station E,Station A,59,14.75
44,1475,45,F,2025-01-05 15:17:00,2025-01-05 15:47:00,Station D,Station D,30,7.5
45,1699,24,M,2025-01-08 04:48:00,2025-01-08 05:27:00,Station A,Station D,39,9.75
46,1975,26,F,2025-01-02 11:28:00,2025-01-02 12:22:00,Station E,Station C,54,13.5
47,1782,25,M,2025-01-05 04:19:00,2025-01-05 04:48:00,Station B,Station B,29,7.25
48,1189,29,F,2025-01-08 00:37:00,2025-01-08 01:05:00,Station B,Station E,28,7.0
49,1957,51,F,2025-01-04 05:59:00,2025-01-04 06:16:00,Station E,Station E,17,4.25
50,1686,50,F,2025-01-07 04:45:00,2025-01-07 04:56:00,Station D,Station C,11,2.75
51,1957,40,F,2025-01-03 02:37:00,2025-01-03 03:17:00,Station B,Station D,40,10.0
52,1562,41,M,2025-01-05 05:12:00,2025-01-05 06:01:00,Station D,Station A,49,12.25
53,1875,54,F,2025-01-01 09:38:00,2025-01-01 10:02:00,Station B,Station D,24,6.0
54,1566,52,M,2025-01-02 20:40:00,2025-01-02 20:45:00,Station B,Station C,5,1.25
55,1243,61,M,2025-01-03 09:21:00,2025-01-03 09:33:00,Station C,Station E,12,3.0
56,1831,57,M,2025-01-04 18:53:00,2025-01-04 19:43:00,Station B,Station D,50,12.5
57,1504,39,M,2025-01-04 09:53:00,2025-01-04 10:13:00,Station A,Station E,20,5.0
58,1130,44,F,2025-01-03 07:49:00,2025-01-03 08:07:00,Station E,Station A,18,4.5
59,1484,52,M,2025-01-01 23:56:00,2025-01-02 00:12:00,Station E,Station E,16,4.0
60,1818,18,M,2025-01-07 03:12:00,2025-01-07 04:07:00,Station D,Station E,55,13.75
61,1646,52,M,2025-01-05 06:59:00,2025-01-05 07:26:00,Station B,Station B,27,6.75
62,1020,54,F,2025-01-06 03:44:00,2025-01-06 04:03:00,Station A,Station B,19,4.75
63,1840,64,F,2025-01-04 10:53:00,2025-01-04 11:25:00,Station D,Station B,32,8.0
64,1166,31,F,2025-01-07 22:12:00,2025-01-07 22:50:00,Station C,Station E,38,9.5
65,1273,20,F,2025-01-04 17:51:00,2025-01-04 17:57:00,Station D,Station C,6,1.5
66,1387,18,M,2025-01-04 02:27:00,2025-01-04 03:03:00,Station D,Station E,36,9.0
67,1600,22,M,2025-01-08 01:59:00,2025-01-08 02:26:00,Station B,Station C,27,6.75
68,1315,43,F,2025-01-05 12:15:00,2025-01-05 12:41:00,Station C,Station C,26,6.5
69,1013,31,M,2025-01-02 04:18:00,2025-01-02 05:13:00,Station D,Station B,55,13.75
70,1241,56,M,2025-01-04 10:56:00,2025-01-04 11:25:00,Station A,Station D,29,7.25
71,1776,44,M,2025-01-04 14:55:00,2025-01-04 15:21:00,Station A,Station A,26,6.5
72,1345,26,F,2025-01-04 11:55:00,2025-01-04 12:21:00,Station E,Station B,26,6.5
73,1564,32,F,2025-01-07 16:26:00,2025-01-07 17:19:00,Station C,Station B,53,13.25
74,1897,32,M,2025-01-06 22:10:00,2025-01-06 23:06:00,Station C,Station D,56,14.0
75,1339,43,F,2025-01-03 17:26:00,2025-01-03 18:12:00,Station E,Station A,46,11.5
76,1091,59,F,2025-01-02 01:25:00,2025-01-02 01:35:00,Station D,Station E,10,2.5
77,1366,30,F,2025-01-06 02:53:00,2025-01-06 03:12:00,Station C,Station E,19,4.75
78,1955,49,F,2025-01-02 12:13:00,2025-01-02 13:11:00,Station A,Station B,58,14.5
79,1454,56,F,2025-01-03 17:16:00,2025-01-03 18:03:00,Station A,Station A,47,11.75
80,1427,49,M,2025-01-07 09:54:00,2025-01-07 10:35:00,Station B,Station B,41,10.25
81,1508,21,F,2025-01-05 10:15:00,2025-01-05 10:52:00,Station C,Station C,37,9.25
82,1775,47,M,2025-01-03 15:54:00,2025-01-03 16:06:00,Station D,Station B,12,3.0
83,1942,54,M,2025-01-01 11:45:00,2025-01-01 12:42:00,Station E,Station B,57,14.25
84,1034,40,F,2025-01-04 17:33:00,2025-01-04 18:21:00,Station E,Station E,48,12.0
85,1205,56,M,2025-01-06 05:02:00,2025-01-06 05:50:00,Station D,Station E,48,12.0
86,1080,62,M,2025-01-07 16:31:00,2025-01-07 16:40:00,Station B,Station E,9,2.25
87,1931,32,M,2025-01-05 05:20:00,2025-01-05 06:03:00,Station E,Station C,43,10.75
88,1561,60,F,2025-01-06 21:16:00,2025-01-06 21:24:00,Station C,Station E,8,2.0
89,1871,46,F,2025-01-07 14:07:00,2025-01-07 14:17:00,Station B,Station A,10,2.5
90,1387,53,M,2025-01-06 16:03:00,2025-01-06 16:52:00,Station C,Station D,49,12.25
91,1001,30,F,2025-01-04 13:22:00,2025-01-04 13:58:00,Station A,Station A,36,9.0
92,1389,49,F,2025-01-06 15:59:00,2025-01-06 16:55:00,Station B,Station A,56,14.0
93,1565,24,F,2025-01-07 00:48:00,2025-01-07 01:22:00,Station E,Station E,34,8.5
94,1105,39,F,2025-01-06 10:19:00,2025-01-06 11:10:00,Station B,Station D,51,12.75
95,1771,45,M,2025-01-07 21:15:00,2025-01-07 21:54:00,Station B,Station D,39,9.75
96,1821,19,M,2025-01-02 20:45:00,2025-01-02 21:44:00,Station B,Station D,59,14.75
97,1476,59,F,2025-01-02 01:49:00,2025-01-02 02:33:00,Station B,Station C,44,11.0
98,1702,62,F,2025-01-03 17:24:00,2025-01-03 18:20:00,Station C,Station E,56,14.0
99,1401,23,M,2025-01-02 01:40:00,2025-01-02 02:00:00,Station A,Station D,20,5.0
100,1729,45,M,2025-01-02 22:47:00,2025-01-02 23:04:00,Station D,Station C,17,4.25
